ordem,index,x,y
184,184,71.0,129.0
185,185,70.0,129.0
186,186,69.0,129.0
187,187,68.0,129.0
188,188,67.0,129.0
189,189,66.0,129.0
190,190,65.0,129.0
191,191,64.0,129.0
192,192,63.0,129.0
193,193,62.0,129.0
194,194,61.0,129.0
195,195,60.0,129.0
196,196,59.0,129.0
197,197,58.0,129.0
198,198,57.0,129.0
199,199,56.0,129.0
200,200,55.0,129.0
201,201,54.0,129.0
202,202,53.0,129.0
203,203,52.0,129.0
204,204,51.0,129.0
205,205,50.0,129.0
206,206,49.0,129.0
207,207,48.0,129.0
208,208,47.0,129.0
209,209,46.0,129.0
210,210,45.0,129.0
211,211,44.0,129.0
212,212,43.0,129.0
213,213,42.0,129.0
214,214,41.0,129.0
215,215,40.0,129.0
216,216,39.0,129.0
217,217,38.0,129.0
218,218,37.0,129.0
219,219,36.0,129.0
220,220,35.0,129.0
221,221,34.0,129.0
222,222,33.0,129.0
223,223,32.0,129.0
224,224,31.0,129.0
225,225,30.0,129.0
226,226,29.0,129.0
227,227,28.0,129.0
228,228,27.0,129.0
229,229,26.0,129.0
230,230,25.0,129.0
231,231,24.0,129.0
232,232,23.0,129.0
233,233,22.0,129.0
234,234,21.0,129.0
235,235,20.0,129.0
236,236,19.0,129.0
237,237,18.0,129.0
238,238,17.0,129.0
239,239,16.0,129.0
240,240,15.0,129.0
241,241,14.0,129.0
242,242,13.0,129.0
243,243,12.0,129.0
244,244,11.0,129.0
245,245,10.0,129.0
246,246,9.0,129.0
247,247,8.0,129.0
248,248,7.0,129.0
249,249,7.0,213.0
250,250,8.0,213.0
251,251,9.0,213.0
252,252,10.0,213.0
253,253,11.0,213.0
254,254,12.0,213.0
255,255,13.0,213.0
256,256,14.0,213.0
257,257,15.0,213.0
258,258,16.0,213.0
259,259,17.0,213.0
260,260,18.0,213.0
261,261,19.0,213.0
262,262,20.0,213.0
263,263,21.0,213.0
264,264,22.0,213.0
265,265,23.0,213.0
266,266,24.0,213.0
267,267,25.0,213.0
268,268,26.0,213.0
269,269,27.0,213.0
270,270,28.0,213.0
271,271,29.0,213.0
272,272,30.0,213.0
273,273,31.0,213.0
274,274,32.0,213.0
275,275,33.0,213.0
276,276,34.0,213.0
277,277,35.0,213.0
278,278,36.0,213.0
279,279,37.0,213.0
280,280,38.0,213.0
281,281,39.0,213.0
282,282,40.0,213.0
283,283,41.0,213.0
284,284,42.0,213.0
285,285,43.0,213.0
286,286,44.0,213.0
287,287,45.0,213.0
288,288,46.0,213.0
289,289,47.0,213.0
290,290,48.0,213.0
291,291,49.0,213.0
292,292,50.0,213.0
293,293,51.0,213.0
294,294,52.0,213.0
295,295,53.0,213.0
296,296,54.0,213.0
297,297,55.0,213.0
298,298,56.0,213.0
299,299,57.0,213.0
300,300,58.0,213.0
301,301,59.0,213.0
302,302,60.0,213.0
303,303,61.0,213.0
304,304,62.0,213.0
305,305,63.0,213.0
306,306,64.0,213.0
307,307,65.0,213.0
308,308,66.0,213.0
309,309,67.0,213.0
310,310,68.0,213.0
311,311,69.0,213.0
312,312,70.0,213.0
313,313,71.0,213.0
314,314,72.0,213.0
315,315,73.0,213.0
316,316,74.0,213.0
466,466,520.0,129.0
467,467,519.0,129.0
468,468,518.0,129.0
469,469,517.0,129.0
470,470,516.0,129.0
471,471,515.0,129.0
472,472,514.0,129.0
473,473,513.0,129.0
474,474,512.0,129.0
475,475,511.0,129.0
476,476,510.0,129.0
477,477,509.0,129.0
478,478,508.0,129.0
479,479,507.0,129.0
480,480,506.0,129.0
481,481,505.0,129.0
482,482,504.0,129.0
483,483,503.0,129.0
484,484,502.0,129.0
485,485,501.0,129.0
486,486,500.0,129.0
487,487,499.0,129.0
488,488,498.0,129.0
489,489,497.0,129.0
490,490,496.0,129.0
491,491,495.0,129.0
492,492,494.0,129.0
493,493,493.0,129.0
494,494,492.0,129.0
495,495,491.0,129.0
496,496,490.0,129.0
497,497,489.0,129.0
498,498,488.0,129.0
499,499,487.0,129.0
500,500,486.0,129.0
501,501,485.0,129.0
502,502,484.0,129.0
503,503,483.0,129.0
504,504,482.0,129.0
505,505,481.0,129.0
506,506,480.0,129.0
507,507,479.0,129.0
508,508,478.0,129.0
509,509,477.0,129.0
510,510,476.0,129.0
511,511,475.0,129.0
512,512,474.0,129.0
513,513,473.0,129.0
514,514,472.0,129.0
515,515,471.0,129.0
516,516,470.0,129.0
517,517,469.0,129.0
518,518,468.0,129.0
519,519,467.0,129.0
520,520,466.0,129.0
521,521,465.0,129.0
522,522,464.0,129.0
523,523,463.0,129.0
524,524,462.0,129.0
525,525,461.0,129.0
526,526,460.0,129.0
527,527,459.0,129.0
528,528,458.0,129.0
529,529,457.0,129.0
530,530,456.0,129.0
531,531,455.0,129.0
532,532,454.0,129.0
533,533,453.0,129.0
534,534,452.0,129.0
535,535,451.0,129.0
536,536,450.0,129.0
537,537,449.0,129.0
538,538,448.0,129.0
539,539,447.0,129.0
540,540,446.0,129.0
541,541,445.0,129.0
542,542,444.0,129.0
543,543,443.0,129.0
544,544,442.0,129.0
545,545,441.0,129.0
546,546,440.0,129.0
547,547,439.0,129.0
548,548,438.0,129.0
549,549,437.0,129.0
550,550,436.0,129.0
551,551,435.0,129.0
552,552,434.0,129.0
553,553,433.0,129.0
554,554,432.0,129.0
555,555,431.0,129.0
556,556,430.0,129.0
557,557,429.0,129.0
558,558,428.0,128.0
559,559,427.0,128.0
560,560,426.0,127.0
561,561,425.0,126.0
562,562,424.0,125.0
563,563,423.0,124.0
564,564,422.0,123.0
565,565,421.0,122.0
566,566,421.0,121.0
567,567,420.0,120.0
568,568,419.0,119.0
569,569,418.0,118.0
570,570,417.0,117.0
571,571,416.0,116.0
572,572,415.0,115.0
573,573,414.0,114.0
574,574,413.0,113.0
575,575,412.0,112.0
576,576,411.0,111.0
577,577,410.0,110.0
578,578,409.0,109.0
579,579,408.0,108.0
580,580,407.0,107.0
581,581,406.0,107.0
582,582,405.0,106.0
583,583,404.0,105.0
584,584,403.0,104.0
585,585,402.0,103.0
586,586,401.0,102.0
587,587,400.0,101.0
588,588,399.0,101.0
589,589,398.0,100.0
590,590,397.0,99.0
591,591,396.0,99.0
592,592,395.0,98.0
593,593,394.0,97.0
594,594,393.0,96.0
595,595,392.0,96.0
596,596,391.0,95.0
597,597,390.0,94.0
598,598,389.0,93.0
599,599,388.0,93.0
600,600,387.0,92.0
601,601,386.0,91.0
602,602,385.0,91.0
603,603,384.0,90.0
604,604,383.0,89.0
605,605,382.0,89.0
606,606,381.0,88.0
607,607,380.0,88.0
608,608,379.0,87.0
609,609,378.0,86.0
610,610,377.0,86.0
611,611,376.0,85.0
612,612,375.0,84.0
613,613,374.0,84.0
614,614,373.0,83.0
615,615,372.0,83.0
616,616,371.0,82.0
617,617,370.0,81.0
618,618,369.0,81.0
619,619,368.0,80.0
620,620,367.0,80.0
621,621,366.0,79.0
622,622,365.0,79.0
623,623,364.0,78.0
624,624,363.0,78.0
625,625,362.0,77.0
626,626,361.0,77.0
627,627,360.0,76.0
628,628,359.0,76.0
629,629,358.0,75.0
630,630,357.0,75.0
631,631,356.0,75.0
632,632,355.0,74.0
633,633,354.0,74.0
634,634,353.0,73.0
635,635,352.0,73.0
636,636,351.0,72.0
637,637,350.0,72.0
638,638,349.0,71.0
639,639,348.0,71.0
640,640,347.0,71.0
641,641,346.0,70.0
642,642,345.0,70.0
643,643,344.0,70.0
644,644,343.0,69.0
645,645,342.0,69.0
646,646,341.0,68.0
647,647,340.0,68.0
648,648,339.0,68.0
649,649,338.0,67.0
650,650,337.0,67.0
651,651,336.0,67.0
652,652,335.0,66.0
653,653,334.0,66.0
654,654,333.0,66.0
655,655,332.0,65.0
656,656,331.0,65.0
657,657,330.0,65.0
658,658,329.0,65.0
659,659,328.0,64.0
660,660,327.0,64.0
661,661,326.0,64.0
662,662,325.0,63.0
663,663,324.0,63.0
664,664,323.0,63.0
665,665,322.0,63.0
666,666,321.0,62.0
667,667,320.0,62.0
668,668,319.0,62.0
669,669,318.0,62.0
670,670,317.0,61.0
671,671,316.0,61.0
672,672,315.0,61.0
673,673,314.0,61.0
674,674,313.0,61.0
675,675,312.0,60.0
676,676,311.0,60.0
677,677,310.0,60.0
678,678,309.0,60.0
679,679,308.0,60.0
680,680,307.0,59.0
681,681,306.0,59.0
682,682,305.0,59.0
683,683,304.0,59.0
684,684,303.0,59.0
685,685,302.0,59.0
686,686,301.0,59.0
687,687,300.0,58.0
688,688,299.0,58.0
689,689,298.0,58.0
690,690,297.0,58.0
691,691,296.0,58.0
692,692,295.0,58.0
693,693,294.0,58.0
694,694,293.0,58.0
695,695,292.0,58.0
696,696,291.0,57.0
697,697,290.0,57.0
698,698,289.0,57.0
699,699,288.0,57.0
700,700,287.0,57.0
701,701,286.0,57.0
702,702,285.0,57.0
703,703,284.0,57.0
704,704,283.0,57.0
705,705,282.0,57.0
706,706,281.0,57.0
707,707,280.0,57.0
708,708,279.0,57.0
709,709,278.0,57.0
710,710,277.0,57.0
711,711,276.0,57.0
712,712,275.0,57.0
713,713,274.0,57.0
714,714,273.0,57.0
715,715,272.0,57.0
716,716,271.0,57.0
717,717,270.0,57.0
718,718,269.0,57.0
719,719,268.0,57.0
720,720,267.0,57.0
721,721,266.0,57.0
722,722,265.0,57.0
723,723,264.0,57.0
724,724,263.0,57.0
725,725,262.0,57.0
726,726,261.0,57.0
727,727,260.0,57.0
728,728,259.0,57.0
729,729,258.0,57.0
730,730,257.0,57.0
731,731,256.0,57.0
732,732,255.0,57.0
