ordem,x,y
0,254.0,57.0
1,253.0,58.0
2,252.0,58.0
3,251.0,58.0
4,250.0,58.0
5,249.0,58.0
6,248.0,58.0
7,247.0,58.0
8,246.0,58.0
9,245.0,58.0
10,244.0,59.0
11,243.0,59.0
12,242.0,59.0
13,241.0,59.0
14,240.0,59.0
15,239.0,59.0
16,238.0,59.0
17,237.0,60.0
18,236.0,60.0
19,235.0,60.0
20,234.0,60.0
21,233.0,60.0
22,232.0,61.0
23,231.0,61.0
24,230.0,61.0
25,229.0,61.0
26,228.0,61.0
27,227.0,62.0
28,226.0,62.0
29,225.0,62.0
30,224.0,62.0
31,223.0,63.0
32,222.0,63.0
33,221.0,63.0
34,220.0,63.0
35,219.0,64.0
36,218.0,64.0
37,217.0,64.0
38,216.0,65.0
39,215.0,65.0
40,214.0,65.0
41,213.0,66.0
42,212.0,66.0
43,211.0,66.0
44,210.0,66.0
45,209.0,67.0
46,208.0,67.0
47,207.0,67.0
48,206.0,68.0
49,205.0,68.0
50,204.0,69.0
51,203.0,69.0
52,202.0,69.0
53,201.0,70.0
54,200.0,70.0
55,199.0,70.0
56,198.0,71.0
57,197.0,71.0
58,196.0,72.0
59,195.0,72.0
60,194.0,72.0
61,193.0,73.0
62,192.0,73.0
63,191.0,74.0
64,190.0,74.0
65,189.0,75.0
66,188.0,75.0
67,187.0,76.0
68,186.0,76.0
69,185.0,77.0
70,184.0,77.0
71,183.0,78.0
72,182.0,78.0
73,181.0,78.0
74,180.0,79.0
75,179.0,79.0
76,178.0,80.0
77,177.0,80.0
78,176.0,81.0
79,175.0,81.0
80,174.0,82.0
81,173.0,83.0
82,172.0,83.0
83,171.0,84.0
84,170.0,85.0
85,169.0,85.0
86,168.0,86.0
87,167.0,86.0
88,166.0,87.0
89,165.0,88.0
90,164.0,88.0
91,163.0,89.0
92,162.0,89.0
93,161.0,90.0
94,160.0,91.0
95,159.0,91.0
96,158.0,92.0
97,157.0,93.0
98,156.0,93.0
99,155.0,94.0
