indice,x,y,dist_baseline,dist_baseline_ajustada,dist_ponto_contato,lado_correto,candidato_janela,permaneceu,descartado,motivo_descarte
24,230.0,61.0,152.0,153.56,269.8758974047145,True,False,False,True,acima_janela_permitida
25,229.0,61.0,152.0,153.56,269.05018119302576,True,False,False,True,acima_janela_permitida
26,228.0,61.0,152.0,153.56,268.2256512714621,True,False,False,True,acima_janela_permitida
27,227.0,62.0,151.0,152.56,266.83515510516975,True,False,False,True,acima_janela_permitida
28,226.0,62.0,151.0,152.56,266.0112779564054,True,False,False,True,acima_janela_permitida
29,225.0,62.0,151.0,152.56,265.1886121235224,True,False,False,True,acima_janela_permitida
30,224.0,62.0,151.0,152.56,264.3671689147501,True,False,False,True,acima_janela_permitida
31,223.0,63.0,150.0,151.56,262.9752840097335,True,False,False,True,acima_janela_permitida
32,222.0,63.0,150.0,151.56,262.15453457836657,True,False,False,True,acima_janela_permitida
33,221.0,63.0,150.0,151.56,261.3350340080717,True,False,False,True,acima_janela_permitida
34,220.0,63.0,150.0,151.56,260.51679408437377,True,False,False,True,acima_janela_permitida
35,219.0,64.0,149.0,150.56,259.12352266824405,True,False,False,True,acima_janela_permitida
36,218.0,64.0,149.0,150.56,258.3060200614767,True,False,False,True,acima_janela_permitida
37,217.0,64.0,149.0,150.56,257.489805623446,True,False,False,True,acima_janela_permitida
38,216.0,65.0,148.0,149.56,256.09568524284043,True,False,False,True,acima_janela_permitida
39,215.0,65.0,148.0,149.56,255.2802381697416,True,False,False,True,acima_janela_permitida
40,214.0,65.0,148.0,149.56,254.46610776290032,True,False,False,True,acima_janela_permitida
41,213.0,66.0,147.0,148.56,253.07113624433742,True,False,False,True,acima_janela_permitida
42,212.0,66.0,147.0,148.56,252.25780463644728,True,False,False,True,acima_janela_permitida
43,211.0,66.0,147.0,148.56,251.44581921360316,True,False,False,True,acima_janela_permitida
44,210.0,66.0,147.0,148.56,250.63519305955418,True,False,False,True,acima_janela_permitida
45,209.0,67.0,146.0,147.56,249.23884127479008,True,False,False,True,acima_janela_permitida
46,208.0,67.0,146.0,147.56,248.42906432219237,True,False,False,True,acima_janela_permitida
47,207.0,67.0,146.0,147.56,247.62067765031256,True,False,False,True,acima_janela_permitida
48,206.0,68.0,145.0,146.56,246.22347572885897,True,False,False,True,acima_janela_permitida
49,205.0,68.0,145.0,146.56,245.41597340026587,True,False,False,True,acima_janela_permitida
50,204.0,69.0,144.0,145.56,244.0184419260151,True,False,False,True,acima_janela_permitida
51,203.0,69.0,144.0,145.56,243.21184181696418,True,False,False,True,acima_janela_permitida
52,202.0,69.0,144.0,145.56,242.40668307618913,True,False,False,True,acima_janela_permitida
53,201.0,70.0,143.0,144.56,241.0082986123092,True,False,False,True,acima_janela_permitida
54,200.0,70.0,143.0,144.56,240.20407989873945,True,False,False,True,acima_janela_permitida
55,199.0,70.0,143.0,144.56,239.40133667128927,True,False,False,True,acima_janela_permitida
56,198.0,71.0,142.0,143.56,238.0021008310641,True,False,False,True,acima_janela_permitida
57,197.0,71.0,142.0,143.56,237.2003372678884,True,False,False,True,acima_janela_permitida
58,196.0,72.0,141.0,142.56,235.80076335754302,True,False,False,True,acima_janela_permitida
59,195.0,72.0,141.0,142.56,235.0,True,False,False,True,acima_janela_permitida
60,194.0,72.0,141.0,142.56,234.2007685726074,True,False,False,True,acima_janela_permitida
61,193.0,73.0,140.0,141.56,232.80034364235806,True,False,False,True,acima_janela_permitida
62,192.0,73.0,140.0,141.56,232.0021551624036,True,False,False,True,acima_janela_permitida
63,191.0,74.0,139.0,140.56,230.6013876801265,True,False,False,True,acima_janela_permitida
64,190.0,74.0,139.0,140.56,229.804264538324,True,False,False,True,acima_janela_permitida
65,189.0,75.0,138.0,139.56,228.40315234251912,True,False,False,True,acima_janela_permitida
66,188.0,75.0,138.0,139.56,227.6071176391459,True,False,False,True,acima_janela_permitida
67,187.0,76.0,137.0,138.56,226.2056586383285,True,False,False,True,acima_janela_permitida
68,186.0,76.0,137.0,138.56,225.41073621280776,True,False,False,True,acima_janela_permitida
69,185.0,77.0,136.0,137.56,224.0089283934906,True,False,False,True,acima_janela_permitida
70,184.0,77.0,136.0,137.56,223.21514285549716,True,False,False,True,acima_janela_permitida
71,183.0,78.0,135.0,136.56,221.812984290821,True,False,False,True,acima_janela_permitida
72,182.0,78.0,135.0,136.56,221.02036105300343,True,False,False,True,acima_janela_permitida
73,181.0,78.0,135.0,136.56,220.22942582679545,True,False,False,True,acima_janela_permitida
74,180.0,79.0,134.0,135.56,218.82641522448793,True,False,False,True,acima_janela_permitida
75,179.0,79.0,134.0,135.56,218.03669415949233,True,False,False,True,acima_janela_permitida
76,178.0,80.0,133.0,134.56,216.6333307688362,True,False,False,True,acima_janela_permitida
77,177.0,80.0,133.0,134.56,215.84485168750263,True,False,False,True,acima_janela_permitida
78,176.0,81.0,132.0,133.56,214.44113411377026,True,False,False,True,acima_janela_permitida
79,175.0,81.0,132.0,133.56,213.65392577717827,True,False,False,True,acima_janela_permitida
80,174.0,82.0,131.0,132.56,212.24985276791125,True,False,False,True,acima_janela_permitida
81,173.0,83.0,130.0,131.56,210.8459153030952,True,False,False,True,acima_janela_permitida
82,172.0,83.0,130.0,131.56,210.05951537600004,True,False,False,True,acima_janela_permitida
83,171.0,84.0,129.0,130.56,208.65521800328887,True,False,False,True,acima_janela_permitida
84,170.0,85.0,128.0,129.56,207.2510554858527,True,False,False,True,acima_janela_permitida
85,169.0,85.0,128.0,129.56,206.4654934849889,True,False,False,True,acima_janela_permitida
86,168.0,86.0,127.0,128.56,205.0609665440988,True,False,False,True,acima_janela_permitida
87,167.0,86.0,127.0,128.56,204.27677303110113,True,False,False,True,acima_janela_permitida
88,166.0,87.0,126.0,127.56,202.87188075236054,True,False,False,True,acima_janela_permitida
89,165.0,88.0,125.0,126.56,201.4671189052943,True,False,False,True,acima_janela_permitida
90,164.0,88.0,125.0,126.56,200.68383093812017,True,False,False,True,acima_janela_permitida
91,163.0,89.0,124.0,125.56,199.2786993132984,True,False,False,True,acima_janela_permitida
92,162.0,89.0,124.0,125.56,198.4968513604183,True,False,False,True,acima_janela_permitida
93,161.0,90.0,123.0,124.56,197.0913493789111,True,False,False,True,acima_janela_permitida
94,160.0,91.0,122.0,123.56,195.68597292601225,True,False,False,True,acima_janela_permitida
95,159.0,91.0,122.0,123.56,194.90510511528424,True,False,False,True,acima_janela_permitida
96,158.0,92.0,121.0,122.56,193.49935400408964,True,False,False,True,acima_janela_permitida
97,157.0,93.0,120.0,121.56,192.09372712298546,True,False,False,True,acima_janela_permitida
98,156.0,93.0,120.0,121.56,191.31387822110554,True,False,False,True,acima_janela_permitida
99,155.0,94.0,119.0,120.56,189.90787240133042,True,False,False,True,acima_janela_permitida
100,154.0,95.0,118.0,119.56,188.50198937942272,True,False,False,True,acima_janela_permitida
101,153.0,96.0,117.0,118.56,187.09623192357455,True,False,False,True,acima_janela_permitida
102,152.0,96.0,117.0,118.56,186.31693428134759,True,False,False,True,acima_janela_permitida
103,151.0,97.0,116.0,117.56,184.91078930121952,True,False,False,True,acima_janela_permitida
104,150.0,98.0,115.0,116.56,183.50476833041697,True,False,False,True,acima_janela_permitida
105,149.0,99.0,114.0,115.56,182.0988742414406,True,False,False,True,acima_janela_permitida
106,148.0,99.0,114.0,115.56,181.3201588351389,True,False,False,True,acima_janela_permitida
107,147.0,100.0,113.0,114.56,179.91386828146406,True,False,False,True,acima_janela_permitida
108,146.0,101.0,112.0,113.56,178.5077029150283,True,False,False,True,acima_janela_permitida
109,145.0,102.0,111.0,112.56,177.1016657177453,True,False,False,True,acima_janela_permitida
110,144.0,102.0,111.0,112.56,176.32356620712955,True,False,False,True,acima_janela_permitida
111,143.0,103.0,110.0,111.56,174.91712323268982,True,False,False,True,acima_janela_permitida
112,142.0,104.0,109.0,110.56,173.51080657987848,True,False,False,True,acima_janela_permitida
113,141.0,105.0,108.0,109.56,172.10461934532728,True,False,False,True,acima_janela_permitida
114,140.0,106.0,107.0,108.56,170.6985647274165,True,False,False,True,acima_janela_permitida
115,139.0,107.0,106.0,107.56,169.29264603047588,True,False,False,True,acima_janela_permitida
116,138.0,108.0,105.0,106.56,167.88686666919483,True,False,False,True,acima_janela_permitida
117,137.0,109.0,104.0,105.56,166.48123017325406,True,False,False,True,acima_janela_permitida
118,136.0,109.0,104.0,105.56,165.7015389186232,True,False,False,True,acima_janela_permitida
119,135.0,110.0,103.0,104.56,164.2954655491137,True,False,False,True,acima_janela_permitida
120,134.0,111.0,102.0,103.56,162.88953311984167,True,False,False,True,acima_janela_permitida
121,133.0,112.0,101.0,102.56,161.48374531202822,True,False,False,True,acima_janela_permitida
122,132.0,113.0,100.0,101.56,160.0781059358212,True,False,False,True,acima_janela_permitida
123,131.0,114.0,99.0,100.56,158.67261893597143,True,False,False,True,acima_janela_permitida
124,130.0,115.0,98.0,99.56,157.26728839781018,True,False,False,True,acima_janela_permitida
125,129.0,116.0,97.0,98.56,155.8621185535472,True,False,False,True,acima_janela_permitida
126,128.0,117.0,96.0,97.56,154.45711378890906,True,False,False,True,acima_janela_permitida
127,127.0,118.0,95.0,96.56,153.05227865013967,True,False,False,True,acima_janela_permitida
128,126.0,119.0,94.0,95.56,151.64761785138597,True,False,False,True,acima_janela_permitida
129,126.0,120.0,93.0,94.56,151.02979838429235,True,False,False,True,acima_janela_permitida
130,125.0,121.0,92.0,93.56,149.6262009141447,True,False,False,True,acima_janela_permitida
131,124.0,122.0,91.0,92.56,148.22280526288793,True,False,False,True,acima_janela_permitida
132,123.0,123.0,90.0,91.56,146.81961721786362,True,False,False,True,acima_janela_permitida
133,122.0,124.0,89.0,90.56,145.41664278891878,True,False,False,True,acima_janela_permitida
134,121.0,125.0,88.0,89.56,144.01388821915754,True,False,False,True,acima_janela_permitida
135,120.0,126.0,87.0,88.56,142.61135999632006,True,False,False,True,acima_janela_permitida
136,119.0,127.0,86.0,87.56,141.20906486483082,True,False,False,True,acima_janela_permitida
137,118.0,128.0,85.0,86.56,139.8070098385628,True,False,False,True,acima_janela_permitida
138,117.0,128.0,85.0,86.56,139.01438774457844,True,False,False,True,acima_janela_permitida
139,116.0,129.0,84.0,85.56,137.6117727521886,True,False,False,True,acima_janela_permitida
140,115.0,129.0,84.0,85.56,136.82105101189657,True,False,False,True,acima_janela_permitida
141,114.0,129.0,84.0,85.56,136.03308421115798,True,False,False,True,acima_janela_permitida
142,113.0,129.0,84.0,85.56,135.2479205015737,True,False,False,True,acima_janela_permitida
143,112.0,129.0,84.0,85.56,134.46560898608982,True,False,False,True,acima_janela_permitida
144,111.0,129.0,84.0,85.56,133.68619973654722,True,False,False,True,acima_janela_permitida
145,110.0,129.0,84.0,85.56,132.90974381135493,True,False,False,True,acima_janela_permitida
146,109.0,129.0,84.0,85.56,132.13629327327143,True,False,False,True,acima_janela_permitida
147,108.0,129.0,84.0,85.56,131.36590120727678,True,False,False,True,acima_janela_permitida
148,107.0,129.0,84.0,85.56,130.59862173851607,True,False,False,True,acima_janela_permitida
149,106.0,129.0,84.0,85.56,129.8345100502944,True,False,False,True,acima_janela_permitida
150,105.0,129.0,84.0,85.56,129.07362240210043,True,False,False,True,acima_janela_permitida
151,104.0,129.0,84.0,85.56,128.3160161476345,True,False,False,True,acima_janela_permitida
152,103.0,129.0,84.0,85.56,127.5617497528158,True,False,False,True,acima_janela_permitida
153,102.0,129.0,84.0,85.56,126.81088281373961,True,False,False,True,acima_janela_permitida
154,101.0,129.0,84.0,85.56,126.0634760745554,True,False,False,True,acima_janela_permitida
155,100.0,129.0,84.0,85.56,125.31959144523253,True,False,False,True,acima_janela_permitida
156,99.0,129.0,84.0,85.56,124.57929201917949,True,False,False,True,acima_janela_permitida
157,98.0,129.0,84.0,85.56,123.84264209067892,True,False,False,True,acima_janela_permitida
158,97.0,129.0,84.0,85.56,123.10970717209915,True,False,False,True,acima_janela_permitida
159,96.0,129.0,84.0,85.56,122.38055401083949,True,False,False,True,acima_janela_permitida
160,95.0,129.0,84.0,85.56,121.6552506059644,True,False,False,True,acima_janela_permitida
161,94.0,129.0,84.0,85.56,120.93386622447825,True,False,False,True,acima_janela_permitida
162,93.0,129.0,84.0,85.56,120.21647141718975,True,False,False,True,acima_janela_permitida
163,92.0,129.0,84.0,85.56,119.50313803411188,True,False,False,True,acima_janela_permitida
164,91.0,129.0,84.0,85.56,118.79393923933998,True,False,False,True,acima_janela_permitida
165,90.0,129.0,84.0,85.56,118.0889495253472,True,False,False,True,acima_janela_permitida
166,89.0,129.0,84.0,85.56,117.38824472663352,True,False,False,True,acima_janela_permitida
167,88.0,129.0,84.0,85.56,116.69190203266035,True,False,False,True,acima_janela_permitida
168,87.0,129.0,84.0,85.56,116.0,True,False,False,True,acima_janela_permitida
169,86.0,129.0,84.0,85.56,115.31261856362468,True,False,False,True,acima_janela_permitida
170,85.0,129.0,84.0,85.56,114.6298390472568,True,False,False,True,acima_janela_permitida
171,84.0,129.0,84.0,85.56,113.95174417269794,True,False,False,True,acima_janela_permitida
172,83.0,129.0,84.0,85.56,113.27841806805037,True,False,False,True,acima_janela_permitida
173,82.0,129.0,84.0,85.56,112.60994627474076,True,False,False,True,acima_janela_permitida
174,81.0,129.0,84.0,85.56,111.94641575325224,True,False,False,True,acima_janela_permitida
175,80.0,129.0,84.0,85.56,111.28791488746656,True,False,False,True,acima_janela_permitida
176,79.0,129.0,84.0,85.56,110.63453348751464,True,False,False,True,acima_janela_permitida
177,78.0,129.0,84.0,85.56,109.98636279102969,True,False,False,True,acima_janela_permitida
178,77.0,129.0,84.0,85.56,109.34349546269316,True,False,False,True,acima_janela_permitida
179,76.0,129.0,84.0,85.56,108.70602559196064,True,False,False,True,acima_janela_permitida
180,75.0,129.0,84.0,85.56,108.07404868885037,True,False,False,True,acima_janela_permitida
181,74.0,129.0,84.0,85.56,107.44766167767449,True,False,False,True,acima_janela_permitida
182,73.0,129.0,84.0,85.56,106.82696288858914,True,False,False,True,acima_janela_permitida
183,72.0,129.0,84.0,85.56,106.21205204683694,True,False,False,True,acima_janela_permitida
184,71.0,129.0,84.0,85.56,105.60303025955268,True,False,False,True,acima_janela_permitida
185,70.0,129.0,84.0,85.56,105.0,True,False,False,True,acima_janela_permitida
186,69.0,129.0,84.0,85.56,104.4030650891055,True,False,False,True,acima_janela_permitida
187,68.0,129.0,84.0,85.56,103.81233067415451,True,False,False,True,acima_janela_permitida
188,67.0,129.0,84.0,85.56,103.22790320451152,True,False,False,True,acima_janela_permitida
189,66.0,129.0,84.0,85.56,102.6498904042279,True,False,False,True,acima_janela_permitida
190,65.0,129.0,84.0,85.56,102.07840124139877,True,False,False,True,acima_janela_permitida
191,64.0,129.0,84.0,85.56,101.51354589413178,True,False,False,True,acima_janela_permitida
192,63.0,129.0,84.0,85.56,100.9554357129917,True,False,False,True,acima_janela_permitida
193,62.0,129.0,84.0,85.56,100.40418317978589,True,False,False,True,acima_janela_permitida
194,61.0,129.0,84.0,85.56,99.85990186255943,True,False,False,True,acima_janela_permitida
195,60.0,129.0,84.0,85.56,99.32270636667126,True,False,False,True,acima_janela_permitida
196,59.0,129.0,84.0,85.56,98.79271228182775,True,False,False,True,acima_janela_permitida
197,58.0,129.0,84.0,85.56,98.2700361249552,True,False,False,True,acima_janela_permitida
198,57.0,129.0,84.0,85.56,97.75479527879949,True,False,False,True,acima_janela_permitida
199,56.0,129.0,84.0,85.56,97.24710792614863,True,False,False,True,acima_janela_permitida
200,55.0,129.0,84.0,85.56,96.74709297958259,True,False,False,True,acima_janela_permitida
201,54.0,129.0,84.0,85.56,96.25487000666512,True,False,False,True,acima_janela_permitida
202,53.0,129.0,84.0,85.56,95.77055915050303,True,False,False,True,acima_janela_permitida
203,52.0,129.0,84.0,85.56,95.29428104561154,True,False,False,True,acima_janela_permitida
204,51.0,129.0,84.0,85.56,94.82615672903758,True,False,False,True,acima_janela_permitida
205,50.0,129.0,84.0,85.56,94.36630754670864,True,False,False,True,acima_janela_permitida
206,49.0,129.0,84.0,85.56,93.91485505499116,True,False,False,True,acima_janela_permitida
207,48.0,129.0,84.0,85.56,93.47192091746055,True,False,False,True,acima_janela_permitida
208,47.0,129.0,84.0,85.56,93.03762679690406,True,False,False,True,acima_janela_permitida
209,46.0,129.0,84.0,85.56,92.61209424259879,True,False,False,True,acima_janela_permitida
210,45.0,129.0,84.0,85.56,92.19544457292888,True,False,False,True,acima_janela_permitida
211,44.0,129.0,84.0,85.56,91.7877987534291,True,False,False,True,acima_janela_permitida
212,43.0,129.0,84.0,85.56,91.3892772703669,True,False,False,True,acima_janela_permitida
213,42.0,129.0,84.0,85.56,91.0,True,False,False,True,acima_janela_permitida
214,41.0,129.0,84.0,85.56,90.62008607367353,True,False,False,True,acima_janela_permitida
215,40.0,129.0,84.0,85.56,90.24965373894794,True,False,False,True,acima_janela_permitida
216,39.0,129.0,84.0,85.56,89.88882021697692,True,False,False,True,acima_janela_permitida
217,38.0,129.0,84.0,85.56,89.5377015563835,True,False,False,True,acima_janela_permitida
218,37.0,129.0,84.0,85.56,89.19641248391103,True,False,False,True,acima_janela_permitida
219,36.0,129.0,84.0,85.56,88.86506625215557,True,False,False,True,acima_janela_permitida
220,35.0,129.0,84.0,85.56,88.54377448471462,True,False,False,True,acima_janela_permitida
221,34.0,129.0,84.0,85.56,88.23264701911646,True,False,False,True,acima_janela_permitida
222,33.0,129.0,84.0,85.56,87.93179174792243,True,False,False,True,acima_janela_permitida
223,32.0,129.0,84.0,85.56,87.64131445842195,True,False,False,True,acima_janela_permitida
224,31.0,129.0,84.0,85.56,87.36131867136622,True,False,False,True,acima_janela_permitida
225,30.0,129.0,84.0,85.56,87.09190547921202,True,False,False,True,acima_janela_permitida
226,29.0,129.0,84.0,85.56,86.83317338436964,True,False,False,True,acima_janela_permitida
227,28.0,129.0,84.0,85.56,86.58521813797087,True,False,False,True,acima_janela_permitida
228,27.0,129.0,84.0,85.56,86.34813257969161,True,False,False,True,acima_janela_permitida
229,26.0,129.0,84.0,85.56,86.12200647918046,True,False,False,True,acima_janela_permitida
230,25.0,129.0,84.0,85.56,85.90692637965812,True,False,False,True,acima_janela_permitida
231,24.0,129.0,84.0,85.56,85.70297544426332,True,False,False,True,acima_janela_permitida
232,23.0,129.0,84.0,85.56,85.5102333057278,True,False,False,True,acima_janela_permitida
233,22.0,129.0,84.0,85.56,85.32877591996736,True,False,False,True,acima_janela_permitida
234,21.0,129.0,84.0,85.56,85.15867542417507,True,False,False,True,acima_janela_permitida
235,20.0,129.0,84.0,85.56,85.0,True,False,False,True,acima_janela_permitida
236,19.0,129.0,84.0,85.56,84.8528137423857,True,False,False,True,acima_janela_permitida
237,18.0,129.0,84.0,85.56,84.71717653463199,True,False,False,True,acima_janela_permitida
238,17.0,129.0,84.0,85.56,84.5931439302264,True,False,False,True,acima_janela_permitida
239,16.0,129.0,84.0,85.56,84.48076704197234,True,False,False,True,acima_janela_permitida
240,15.0,129.0,84.0,85.56,84.38009243891595,True,False,False,True,acima_janela_permitida
241,14.0,129.0,84.0,85.56,84.29116205154607,True,False,False,True,acima_janela_permitida
242,13.0,129.0,84.0,85.56,84.2140130857092,True,False,False,True,acima_janela_permitida
243,12.0,129.0,84.0,85.56,84.1486779456457,True,False,False,True,acima_janela_permitida
244,11.0,129.0,84.0,85.56,84.09518416651456,True,False,False,True,acima_janela_permitida
245,10.0,129.0,84.0,85.56,84.0535543567314,True,False,False,True,acima_janela_permitida
246,9.0,129.0,84.0,85.56,84.02380615040002,True,False,False,True,acima_janela_permitida
247,8.0,129.0,84.0,85.56,84.00595217006948,True,False,False,True,acima_janela_permitida
248,7.0,129.0,84.0,85.56,84.0,True,False,False,True,acima_janela_permitida
249,7.0,130.0,83.0,84.56,83.0,True,True,True,False,mantido
250,7.0,131.0,82.0,83.56,82.0,True,True,True,False,mantido
251,7.0,132.0,81.0,82.56,81.0,True,True,True,False,mantido
252,7.0,133.0,80.0,81.56,80.0,True,True,True,False,mantido
253,7.0,134.0,79.0,80.56,79.0,True,True,True,False,mantido
254,7.0,135.0,78.0,79.56,78.0,True,True,True,False,mantido
255,7.0,136.0,77.0,78.56,77.0,True,True,True,False,mantido
256,7.0,137.0,76.0,77.56,76.0,True,True,True,False,mantido
257,7.0,138.0,75.0,76.56,75.0,True,True,True,False,mantido
258,7.0,139.0,74.0,75.56,74.0,True,True,True,False,mantido
259,7.0,140.0,73.0,74.56,73.0,True,True,True,False,mantido
260,7.0,141.0,72.0,73.56,72.0,True,True,True,False,mantido
261,7.0,142.0,71.0,72.56,71.0,True,True,True,False,mantido
262,7.0,143.0,70.0,71.56,70.0,True,True,True,False,mantido
263,7.0,144.0,69.0,70.56,69.0,True,True,True,False,mantido
264,7.0,145.0,68.0,69.56,68.0,True,True,True,False,mantido
265,7.0,146.0,67.0,68.56,67.0,True,True,True,False,mantido
266,7.0,147.0,66.0,67.56,66.0,True,True,True,False,mantido
267,7.0,148.0,65.0,66.56,65.0,True,True,True,False,mantido
268,7.0,149.0,64.0,65.56,64.0,True,True,True,False,mantido
269,7.0,150.0,63.0,64.56,63.0,True,True,True,False,mantido
270,7.0,151.0,62.0,63.56,62.0,True,True,True,False,mantido
271,7.0,152.0,61.0,62.56,61.0,True,True,True,False,mantido
272,7.0,153.0,60.0,61.56,60.0,True,True,True,False,mantido
273,7.0,154.0,59.0,60.56,59.0,True,True,True,False,mantido
274,7.0,155.0,58.0,59.56,58.0,True,True,True,False,mantido
275,7.0,156.0,57.0,58.56,57.0,True,True,True,False,mantido
276,7.0,157.0,56.0,57.56,56.0,True,True,True,False,mantido
277,7.0,158.0,55.0,56.56,55.0,True,True,True,False,mantido
278,7.0,159.0,54.0,55.56,54.0,True,True,True,False,mantido
279,7.0,160.0,53.0,54.56,53.0,True,True,True,False,mantido
280,7.0,161.0,52.0,53.56,52.0,True,True,True,False,mantido
281,7.0,162.0,51.0,52.56,51.0,True,True,True,False,mantido
282,7.0,163.0,50.0,51.56,50.0,True,True,True,False,mantido
283,7.0,164.0,49.0,50.56,49.0,True,True,True,False,mantido
284,7.0,165.0,48.0,49.56,48.0,True,True,True,False,mantido
285,7.0,166.0,47.0,48.56,47.0,True,True,True,False,mantido
286,7.0,167.0,46.0,47.56,46.0,True,True,True,False,mantido
287,7.0,168.0,45.0,46.56,45.0,True,True,True,False,mantido
288,7.0,169.0,44.0,45.56,44.0,True,True,True,False,mantido
289,7.0,170.0,43.0,44.56,43.0,True,True,True,False,mantido
290,7.0,171.0,42.0,43.56,42.0,True,True,True,False,mantido
291,7.0,172.0,41.0,42.56,41.0,True,True,True,False,mantido
292,7.0,173.0,40.0,41.56,40.0,True,True,True,False,mantido
293,7.0,174.0,39.0,40.56,39.0,True,True,True,False,mantido
294,7.0,175.0,38.0,39.56,38.0,True,True,True,False,mantido
295,7.0,176.0,37.0,38.56,37.0,True,True,True,False,mantido
296,7.0,177.0,36.0,37.56,36.0,True,True,True,False,mantido
297,7.0,178.0,35.0,36.56,35.0,True,True,True,False,mantido
298,7.0,179.0,34.0,35.56,34.0,True,True,True,False,mantido
299,7.0,180.0,33.0,34.56,33.0,True,True,True,False,mantido
300,7.0,181.0,32.0,33.56,32.0,True,True,True,False,mantido
301,7.0,182.0,31.0,32.56,31.0,True,True,True,False,mantido
302,7.0,183.0,30.0,31.560000000000002,30.0,True,True,True,False,mantido
303,7.0,184.0,29.0,30.560000000000002,29.0,True,True,True,False,mantido
304,7.0,185.0,28.0,29.560000000000002,28.0,True,True,True,False,mantido
305,7.0,186.0,27.0,28.560000000000002,27.0,True,True,True,False,mantido
306,7.0,187.0,26.0,27.560000000000002,26.0,True,True,True,False,mantido
307,7.0,188.0,25.0,26.560000000000002,25.0,True,True,True,False,mantido
308,7.0,189.0,24.0,25.560000000000002,24.0,True,True,True,False,mantido
309,7.0,190.0,23.0,24.560000000000002,23.0,True,True,True,False,mantido
310,7.0,191.0,22.0,23.560000000000002,22.0,True,True,True,False,mantido
311,7.0,192.0,21.0,22.560000000000002,21.0,True,True,True,False,mantido
312,7.0,193.0,20.0,21.560000000000002,20.0,True,True,True,False,mantido
313,7.0,194.0,19.0,20.560000000000002,19.0,True,True,True,False,mantido
314,7.0,195.0,18.0,19.560000000000002,18.0,True,True,True,False,mantido
315,7.0,196.0,17.0,18.560000000000002,17.0,True,True,True,False,mantido
316,7.0,197.0,16.0,17.560000000000002,16.0,True,True,True,False,mantido
317,7.0,198.0,15.0,16.560000000000002,15.0,True,True,True,False,mantido
318,7.0,199.0,14.0,15.560000000000002,14.0,True,True,True,False,mantido
319,7.0,200.0,13.0,14.560000000000002,13.0,True,True,True,False,mantido
320,7.0,201.0,12.0,13.560000000000002,12.0,True,True,True,False,mantido
321,7.0,202.0,11.0,12.560000000000002,11.0,True,True,True,False,mantido
322,7.0,203.0,10.0,11.560000000000002,10.0,True,True,True,False,mantido
323,7.0,204.0,9.0,10.560000000000002,9.0,True,True,True,False,mantido
324,7.0,205.0,8.0,9.560000000000002,8.0,True,True,True,False,mantido
325,7.0,206.0,7.0,8.560000000000002,7.0,True,True,True,False,mantido
326,7.0,207.0,6.0,7.560000000000002,6.0,True,True,True,False,mantido
327,7.0,208.0,5.0,6.560000000000002,5.0,True,True,True,False,mantido
328,7.0,209.0,4.0,5.560000000000002,4.0,True,True,True,False,mantido
329,7.0,210.0,3.0,4.560000000000002,3.0,True,True,True,False,mantido
330,7.0,211.0,2.0,3.5600000000000023,2.0,True,True,True,False,mantido
