indice,x,y,dist_baseline,dist_baseline_ajustada,dist_ponto_contato,lado_correto,candidato_janela,permaneceu,descartado,motivo_descarte
0,254.0,57.0,156.0,157.56,292.138665705175,True,False,False,True,acima_janela_permitida
1,253.0,58.0,155.0,156.56,290.7593506664919,True,False,False,True,acima_janela_permitida
2,252.0,58.0,155.0,156.56,289.9137802864845,True,False,False,True,acima_janela_permitida
3,251.0,58.0,155.0,156.56,289.0691958683941,True,False,False,True,acima_janela_permitida
4,250.0,58.0,155.0,156.56,288.22560607968194,True,False,False,True,acima_janela_permitida
5,249.0,58.0,155.0,156.56,287.3830196793123,True,False,False,True,acima_janela_permitida
6,248.0,58.0,155.0,156.56,286.54144551879403,True,False,False,True,acima_janela_permitida
7,247.0,58.0,155.0,156.56,285.70089254323307,True,False,False,True,acima_janela_permitida
8,246.0,58.0,155.0,156.56,284.8613697923957,True,False,False,True,acima_janela_permitida
9,245.0,58.0,155.0,156.56,284.0228864017828,True,False,False,True,acima_janela_permitida
10,244.0,59.0,154.0,155.56,282.63934616397626,True,False,False,True,acima_janela_permitida
11,243.0,59.0,154.0,155.56,281.80134847086873,True,False,False,True,acima_janela_permitida
12,242.0,59.0,154.0,155.56,280.9644105576363,True,False,False,True,acima_janela_permitida
13,241.0,59.0,154.0,155.56,280.12854192316786,True,False,False,True,acima_janela_permitida
14,240.0,59.0,154.0,155.56,279.29375216785644,True,False,False,True,acima_janela_permitida
15,239.0,59.0,154.0,155.56,278.4600509947522,True,False,False,True,acima_janela_permitida
16,238.0,59.0,154.0,155.56,277.62744821072715,True,False,False,True,acima_janela_permitida
17,237.0,60.0,153.0,154.56,276.24083695210595,True,False,False,True,acima_janela_permitida
18,236.0,60.0,153.0,154.56,275.40878707840824,True,False,False,True,acima_janela_permitida
19,235.0,60.0,153.0,154.56,274.57785781085846,True,False,False,True,acima_janela_permitida
20,234.0,60.0,153.0,154.56,273.7480593538519,True,False,False,True,acima_janela_permitida
21,233.0,60.0,153.0,154.56,272.91940202191563,True,False,False,True,acima_janela_permitida
22,232.0,61.0,152.0,153.56,271.53084539329967,True,False,False,True,acima_janela_permitida
23,231.0,61.0,152.0,153.56,270.7027890510181,True,False,False,True,acima_janela_permitida
