ordem_entrada,indice_local,indice_contorno,x,y,dist_baseline,dist_baseline_ajustada,motivo
0,0,221,83.0,200.0,177.0,180.3,fora_da_janela
1,1,222,83.0,201.0,176.0,179.3,fora_da_janela
2,2,223,83.0,202.0,175.0,178.3,fora_da_janela
3,3,224,82.0,203.0,174.0,177.3,fora_da_janela
4,4,225,82.0,204.0,173.0,176.3,fora_da_janela
5,5,226,82.0,205.0,172.0,175.3,fora_da_janela
6,6,227,82.0,206.0,171.0,174.3,fora_da_janela
7,7,228,82.0,207.0,170.0,173.3,fora_da_janela
8,8,229,81.0,208.0,169.0,172.3,fora_da_janela
9,9,230,81.0,209.0,168.0,171.3,fora_da_janela
10,10,231,81.0,210.0,167.0,170.3,fora_da_janela
11,11,232,81.0,211.0,166.0,169.3,fora_da_janela
12,12,233,81.0,212.0,165.0,168.3,fora_da_janela
13,13,234,80.0,213.0,164.0,167.3,fora_da_janela
14,14,235,80.0,214.0,163.0,166.3,fora_da_janela
15,15,236,80.0,215.0,162.0,165.3,fora_da_janela
16,16,237,80.0,216.0,161.0,164.3,fora_da_janela
17,17,238,80.0,217.0,160.0,163.3,fora_da_janela
18,18,239,79.0,218.0,159.0,162.3,fora_da_janela
19,19,240,79.0,219.0,158.0,161.3,fora_da_janela
20,20,241,79.0,220.0,157.0,160.3,fora_da_janela
21,21,242,79.0,221.0,156.0,159.3,fora_da_janela
22,22,243,79.0,222.0,155.0,158.3,fora_da_janela
23,23,244,79.0,223.0,154.0,157.3,fora_da_janela
24,24,245,79.0,224.0,153.0,156.3,fora_da_janela
25,25,246,79.0,225.0,152.0,155.3,fora_da_janela
26,26,247,78.0,226.0,151.0,154.3,fora_da_janela
27,27,248,78.0,227.0,150.0,153.3,fora_da_janela
28,28,249,78.0,228.0,149.0,152.3,fora_da_janela
29,29,250,78.0,229.0,148.0,151.3,fora_da_janela
30,30,251,78.0,230.0,147.0,150.3,fora_da_janela
31,31,252,78.0,231.0,146.0,149.3,fora_da_janela
32,32,253,78.0,232.0,145.0,148.3,fora_da_janela
33,33,254,78.0,233.0,144.0,147.3,fora_da_janela
34,34,255,77.0,234.0,143.0,146.3,fora_da_janela
35,35,256,77.0,235.0,142.0,145.3,fora_da_janela
36,36,257,77.0,236.0,141.0,144.3,fora_da_janela
37,37,258,77.0,237.0,140.0,143.3,fora_da_janela
38,38,259,77.0,238.0,139.0,142.3,fora_da_janela
39,39,260,77.0,239.0,138.0,141.3,fora_da_janela
40,40,261,77.0,240.0,137.0,140.3,fora_da_janela
41,41,262,77.0,241.0,136.0,139.3,fora_da_janela
42,42,263,77.0,242.0,135.0,138.3,fora_da_janela
43,43,264,77.0,243.0,134.0,137.3,fora_da_janela
44,44,265,77.0,244.0,133.0,136.3,fora_da_janela
45,45,266,77.0,245.0,132.0,135.3,fora_da_janela
46,46,267,77.0,246.0,131.0,134.3,fora_da_janela
47,47,268,77.0,247.0,130.0,133.3,fora_da_janela
48,48,269,77.0,248.0,129.0,132.3,fora_da_janela
49,49,270,77.0,249.0,128.0,131.3,fora_da_janela
50,50,271,77.0,250.0,127.0,130.3,fora_da_janela
51,51,272,77.0,251.0,126.0,129.3,fora_da_janela
52,52,273,77.0,252.0,125.0,128.3,fora_da_janela
53,53,274,77.0,253.0,124.0,127.30000000000001,fora_da_janela
54,54,275,77.0,254.0,123.0,126.30000000000001,fora_da_janela
55,55,276,77.0,255.0,122.0,125.30000000000001,fora_da_janela
56,56,277,77.0,256.0,121.0,124.30000000000001,fora_da_janela
57,57,278,77.0,257.0,120.0,123.30000000000001,fora_da_janela
58,58,279,77.0,258.0,119.0,122.30000000000001,fora_da_janela
59,59,280,77.0,259.0,118.0,121.30000000000001,fora_da_janela
60,60,281,77.0,260.0,117.0,120.30000000000001,fora_da_janela
61,61,282,77.0,261.0,116.0,119.30000000000001,fora_da_janela
62,62,283,77.0,262.0,115.0,118.30000000000001,fora_da_janela
63,63,284,77.0,263.0,114.0,117.30000000000001,fora_da_janela
64,64,285,77.0,264.0,113.0,116.30000000000001,fora_da_janela
65,65,286,77.0,265.0,112.0,115.30000000000001,fora_da_janela
66,66,287,78.0,266.0,111.0,114.30000000000001,fora_da_janela
67,67,288,78.0,267.0,110.0,113.30000000000001,fora_da_janela
68,68,289,78.0,268.0,109.0,112.30000000000001,fora_da_janela
69,69,290,78.0,269.0,108.0,111.30000000000001,fora_da_janela
70,70,291,78.0,270.0,107.0,110.30000000000001,fora_da_janela
71,71,292,78.0,271.0,106.0,109.30000000000001,fora_da_janela
72,72,293,78.0,272.0,105.0,108.30000000000001,fora_da_janela
73,73,294,78.0,273.0,104.0,107.30000000000001,fora_da_janela
74,74,295,78.0,274.0,103.0,106.30000000000001,fora_da_janela
75,75,296,79.0,275.0,102.0,105.30000000000001,fora_da_janela
76,76,297,79.0,276.0,101.0,104.30000000000001,fora_da_janela
77,77,298,79.0,277.0,100.0,103.30000000000001,fora_da_janela
78,78,299,79.0,278.0,99.0,102.30000000000001,fora_da_janela
79,79,300,79.0,279.0,98.0,101.30000000000001,fora_da_janela
80,80,301,79.0,280.0,97.0,100.30000000000001,fora_da_janela
81,81,302,79.0,281.0,96.0,99.30000000000001,fora_da_janela
82,82,303,79.0,282.0,95.0,98.30000000000001,fora_da_janela
83,83,304,80.0,283.0,94.0,97.30000000000001,fora_da_janela
84,84,305,80.0,284.0,93.0,96.30000000000001,fora_da_janela
85,85,306,80.0,285.0,92.0,95.30000000000001,fora_da_janela
86,86,307,80.0,286.0,91.0,94.30000000000001,fora_da_janela
87,87,308,80.0,287.0,90.0,93.30000000000001,fora_da_janela
88,88,309,81.0,288.0,89.0,92.30000000000001,fora_da_janela
89,89,310,81.0,289.0,88.0,91.30000000000001,fora_da_janela
90,90,311,81.0,290.0,87.0,90.30000000000001,fora_da_janela
91,91,312,81.0,291.0,86.0,89.30000000000001,fora_da_janela
92,92,313,82.0,292.0,85.0,88.30000000000001,fora_da_janela
93,93,314,82.0,293.0,84.0,87.30000000000001,fora_da_janela
94,94,315,82.0,294.0,83.0,86.30000000000001,fora_da_janela
95,95,316,82.0,295.0,82.0,85.30000000000001,fora_da_janela
96,96,317,82.0,296.0,81.0,84.30000000000001,fora_da_janela
97,97,318,83.0,297.0,80.0,83.30000000000001,fora_da_janela
98,98,319,83.0,298.0,79.0,82.30000000000001,fora_da_janela
99,99,320,83.0,299.0,78.0,81.30000000000001,fora_da_janela
100,100,321,83.0,300.0,77.0,80.30000000000001,fora_da_janela
101,101,322,84.0,301.0,76.0,79.30000000000001,fora_da_janela
102,102,323,84.0,302.0,75.0,78.30000000000001,fora_da_janela
103,103,324,84.0,303.0,74.0,77.30000000000001,fora_da_janela
104,104,325,84.0,304.0,73.0,76.30000000000001,fora_da_janela
105,105,326,85.0,305.0,72.0,75.30000000000001,fora_da_janela
106,106,327,85.0,306.0,71.0,74.30000000000001,fora_da_janela
107,107,328,85.0,307.0,70.0,73.30000000000001,fora_da_janela
108,108,329,86.0,308.0,69.0,72.30000000000001,fora_da_janela
109,109,330,86.0,309.0,68.0,71.30000000000001,fora_da_janela
110,110,331,86.0,310.0,67.0,70.30000000000001,fora_da_janela
111,111,332,86.0,311.0,66.0,69.30000000000001,fora_da_janela
112,112,333,87.0,312.0,65.0,68.30000000000001,fora_da_janela
113,113,334,87.0,313.0,64.0,67.30000000000001,fora_da_janela
114,114,335,87.0,314.0,63.0,66.30000000000001,fora_da_janela
115,115,336,88.0,315.0,62.0,65.30000000000001,fora_da_janela
116,116,337,88.0,316.0,61.0,64.30000000000001,fora_da_janela
117,117,338,88.0,317.0,60.0,63.30000000000001,fora_da_janela
118,118,339,89.0,318.0,59.0,62.30000000000001,fora_da_janela
119,119,340,89.0,319.0,58.0,61.30000000000001,fora_da_janela
120,120,341,89.0,320.0,57.0,60.30000000000001,fora_da_janela
121,121,342,90.0,321.0,56.0,59.30000000000001,fora_da_janela
122,122,343,90.0,322.0,55.0,58.30000000000001,fora_da_janela
123,123,344,91.0,323.0,54.0,57.30000000000001,fora_da_janela
124,124,345,91.0,324.0,53.0,56.30000000000001,fora_da_janela
125,125,346,91.0,325.0,52.0,55.30000000000001,fora_da_janela
126,126,347,92.0,326.0,51.0,54.30000000000001,fora_da_janela
127,127,348,92.0,327.0,50.0,53.30000000000001,fora_da_janela
128,128,349,92.0,328.0,49.0,52.30000000000001,fora_da_janela
129,129,350,93.0,329.0,48.0,51.30000000000001,fora_da_janela
130,130,351,93.0,330.0,47.0,50.30000000000001,fora_da_janela
131,131,352,94.0,331.0,46.0,49.30000000000001,fora_da_janela
132,132,353,94.0,332.0,45.0,48.30000000000001,fora_da_janela
133,133,354,95.0,333.0,44.0,47.30000000000001,fora_da_janela
134,134,355,95.0,334.0,43.0,46.30000000000001,fora_da_janela
135,135,356,96.0,335.0,42.0,45.30000000000001,fora_da_janela
136,136,357,96.0,336.0,41.0,44.30000000000001,fora_da_janela
137,137,358,97.0,337.0,40.0,43.30000000000001,fora_da_janela
138,138,359,97.0,338.0,39.0,42.30000000000001,fora_da_janela
139,139,360,98.0,339.0,38.0,41.30000000000001,fora_da_janela
140,140,361,98.0,340.0,37.0,40.30000000000001,fora_da_janela
141,141,362,99.0,341.0,36.0,39.30000000000001,fora_da_janela
142,142,363,99.0,342.0,35.0,38.30000000000001,fora_da_janela
143,143,364,100.0,343.0,34.0,37.30000000000001,fora_da_janela
144,144,365,100.0,344.0,33.0,36.30000000000001,fora_da_janela
145,145,366,101.0,345.0,32.0,35.30000000000001,fora_da_janela
146,146,367,101.0,346.0,31.0,34.30000000000001,fora_da_janela
147,147,368,102.0,347.0,30.0,33.30000000000001,fora_do_top12
148,148,369,102.0,348.0,29.0,32.30000000000001,fora_do_top12
149,149,370,103.0,349.0,28.0,31.30000000000001,fora_do_top12
150,150,371,103.0,350.0,27.0,30.30000000000001,fora_do_top12
151,151,372,104.0,351.0,26.0,29.30000000000001,fora_do_top12
152,152,373,105.0,352.0,25.0,28.30000000000001,fora_do_top12
153,153,374,105.0,353.0,24.0,27.30000000000001,fora_do_top12
154,154,375,106.0,354.0,23.0,26.30000000000001,fora_do_top12
155,155,376,107.0,355.0,22.0,25.30000000000001,fora_do_top12
156,156,377,107.0,356.0,21.0,24.30000000000001,fora_do_top12
157,157,378,108.0,357.0,20.0,23.30000000000001,fora_do_top12
158,158,379,108.0,358.0,19.0,22.30000000000001,fora_do_top12
159,159,380,109.0,359.0,18.0,21.30000000000001,fora_do_top12
160,160,381,110.0,360.0,17.0,20.30000000000001,fora_do_top12
161,161,382,110.0,361.0,16.0,19.30000000000001,fora_do_top12
162,162,383,111.0,362.0,15.0,18.30000000000001,fora_do_top12
163,163,384,112.0,363.0,14.0,17.30000000000001,fora_do_top12
164,164,385,112.0,364.0,13.0,16.30000000000001,fora_do_top12
165,165,386,113.0,365.0,12.0,15.300000000000011,fora_do_top12
166,166,387,114.0,366.0,11.0,14.300000000000011,fora_do_top12
167,167,388,114.0,367.0,10.0,13.300000000000011,fora_do_top12
168,168,389,115.0,368.0,9.0,12.300000000000011,fora_do_top12
