ordem_entrada,indice_local,indice_contorno,x,y,dist_baseline,dist_baseline_ajustada
0,0,558,280.0,377.0,0.0,3.3000000000000114
1,1,559,281.0,377.0,0.0,3.3000000000000114
2,2,560,282.0,377.0,0.0,3.3000000000000114
3,3,561,283.0,377.0,0.0,3.3000000000000114
4,4,562,284.0,377.0,0.0,3.3000000000000114
5,5,563,285.0,377.0,0.0,3.3000000000000114
6,6,564,286.0,377.0,0.0,3.3000000000000114
7,7,565,287.0,377.0,0.0,3.3000000000000114
8,8,566,288.0,377.0,0.0,3.3000000000000114
9,9,567,289.0,377.0,0.0,3.3000000000000114
10,10,568,290.0,377.0,0.0,3.3000000000000114
11,11,569,291.0,377.0,0.0,3.3000000000000114
12,12,570,292.0,377.0,0.0,3.3000000000000114
13,13,571,293.0,377.0,0.0,3.3000000000000114
14,14,572,294.0,377.0,0.0,3.3000000000000114
15,15,573,295.0,377.0,0.0,3.3000000000000114
16,16,574,296.0,377.0,0.0,3.3000000000000114
17,17,575,297.0,377.0,0.0,3.3000000000000114
18,18,576,298.0,377.0,0.0,3.3000000000000114
19,19,577,299.0,377.0,0.0,3.3000000000000114
20,20,578,300.0,377.0,0.0,3.3000000000000114
21,21,579,301.0,377.0,0.0,3.3000000000000114
22,22,580,302.0,377.0,0.0,3.3000000000000114
23,23,581,303.0,377.0,0.0,3.3000000000000114
24,24,582,304.0,377.0,0.0,3.3000000000000114
25,25,583,305.0,377.0,0.0,3.3000000000000114
26,26,584,306.0,377.0,0.0,3.3000000000000114
27,27,585,307.0,377.0,0.0,3.3000000000000114
28,28,586,308.0,377.0,0.0,3.3000000000000114
29,29,587,309.0,377.0,0.0,3.3000000000000114
30,30,588,310.0,377.0,0.0,3.3000000000000114
31,31,589,311.0,377.0,0.0,3.3000000000000114
32,32,590,312.0,377.0,0.0,3.3000000000000114
33,33,591,313.0,377.0,0.0,3.3000000000000114
34,34,592,314.0,377.0,0.0,3.3000000000000114
35,35,593,315.0,377.0,0.0,3.3000000000000114
36,36,594,316.0,377.0,0.0,3.3000000000000114
37,37,595,317.0,377.0,0.0,3.3000000000000114
38,38,596,318.0,377.0,0.0,3.3000000000000114
39,39,597,319.0,377.0,0.0,3.3000000000000114
40,40,598,320.0,377.0,0.0,3.3000000000000114
41,41,599,321.0,377.0,0.0,3.3000000000000114
42,42,600,322.0,377.0,0.0,3.3000000000000114
43,43,601,323.0,377.0,0.0,3.3000000000000114
44,44,602,324.0,377.0,0.0,3.3000000000000114
45,45,603,325.0,377.0,0.0,3.3000000000000114
46,46,604,326.0,377.0,0.0,3.3000000000000114
47,47,605,327.0,377.0,0.0,3.3000000000000114
48,48,606,328.0,377.0,0.0,3.3000000000000114
49,49,607,329.0,377.0,0.0,3.3000000000000114
50,50,608,330.0,377.0,0.0,3.3000000000000114
51,51,609,331.0,377.0,0.0,3.3000000000000114
52,52,610,332.0,377.0,0.0,3.3000000000000114
53,53,611,333.0,377.0,0.0,3.3000000000000114
54,54,612,334.0,377.0,0.0,3.3000000000000114
55,55,613,335.0,377.0,0.0,3.3000000000000114
56,56,614,336.0,377.0,0.0,3.3000000000000114
57,57,615,337.0,377.0,0.0,3.3000000000000114
58,58,616,338.0,377.0,0.0,3.3000000000000114
59,59,617,339.0,377.0,0.0,3.3000000000000114
60,60,618,340.0,377.0,0.0,3.3000000000000114
61,61,619,341.0,377.0,0.0,3.3000000000000114
62,62,620,342.0,377.0,0.0,3.3000000000000114
63,63,621,343.0,377.0,0.0,3.3000000000000114
64,64,622,344.0,377.0,0.0,3.3000000000000114
65,65,623,345.0,377.0,0.0,3.3000000000000114
66,66,624,346.0,377.0,0.0,3.3000000000000114
67,67,625,347.0,377.0,0.0,3.3000000000000114
68,68,626,348.0,377.0,0.0,3.3000000000000114
69,69,627,349.0,377.0,0.0,3.3000000000000114
70,70,628,350.0,377.0,0.0,3.3000000000000114
71,71,629,351.0,377.0,0.0,3.3000000000000114
72,72,630,352.0,377.0,0.0,3.3000000000000114
73,73,631,353.0,377.0,0.0,3.3000000000000114
74,74,632,354.0,377.0,0.0,3.3000000000000114
75,75,633,355.0,377.0,0.0,3.3000000000000114
76,76,634,356.0,377.0,0.0,3.3000000000000114
77,77,635,357.0,377.0,0.0,3.3000000000000114
78,78,636,358.0,377.0,0.0,3.3000000000000114
79,79,637,359.0,377.0,0.0,3.3000000000000114
80,80,638,360.0,377.0,0.0,3.3000000000000114
81,81,639,361.0,377.0,0.0,3.3000000000000114
82,82,640,362.0,377.0,0.0,3.3000000000000114
83,83,641,363.0,377.0,0.0,3.3000000000000114
84,84,642,364.0,377.0,0.0,3.3000000000000114
85,85,643,365.0,377.0,0.0,3.3000000000000114
86,86,644,366.0,377.0,0.0,3.3000000000000114
87,87,645,367.0,377.0,0.0,3.3000000000000114
88,88,646,368.0,377.0,0.0,3.3000000000000114
89,89,647,369.0,377.0,0.0,3.3000000000000114
90,90,648,370.0,377.0,0.0,3.3000000000000114
91,91,649,371.0,377.0,0.0,3.3000000000000114
92,92,650,372.0,377.0,0.0,3.3000000000000114
93,93,651,373.0,377.0,0.0,3.3000000000000114
94,94,652,374.0,377.0,0.0,3.3000000000000114
95,95,653,375.0,377.0,0.0,3.3000000000000114
96,96,654,376.0,377.0,0.0,3.3000000000000114
97,97,655,377.0,377.0,0.0,3.3000000000000114
98,98,656,378.0,377.0,0.0,3.3000000000000114
99,99,657,379.0,377.0,0.0,3.3000000000000114
100,100,658,380.0,377.0,0.0,3.3000000000000114
101,101,659,381.0,377.0,0.0,3.3000000000000114
102,102,660,382.0,377.0,0.0,3.3000000000000114
103,103,661,383.0,377.0,0.0,3.3000000000000114
104,104,662,384.0,377.0,0.0,3.3000000000000114
105,105,663,385.0,377.0,0.0,3.3000000000000114
106,106,664,386.0,377.0,0.0,3.3000000000000114
107,107,665,387.0,377.0,0.0,3.3000000000000114
108,108,666,388.0,377.0,0.0,3.3000000000000114
109,109,667,389.0,377.0,0.0,3.3000000000000114
110,110,668,390.0,377.0,0.0,3.3000000000000114
111,111,669,391.0,377.0,0.0,3.3000000000000114
112,112,670,392.0,377.0,0.0,3.3000000000000114
113,113,671,393.0,377.0,0.0,3.3000000000000114
114,114,672,394.0,377.0,0.0,3.3000000000000114
115,115,673,395.0,377.0,0.0,3.3000000000000114
116,116,674,396.0,377.0,0.0,3.3000000000000114
117,117,675,397.0,377.0,0.0,3.3000000000000114
118,118,676,398.0,377.0,0.0,3.3000000000000114
119,119,677,399.0,377.0,0.0,3.3000000000000114
120,120,678,400.0,377.0,0.0,3.3000000000000114
121,121,679,401.0,377.0,0.0,3.3000000000000114
122,122,680,402.0,377.0,0.0,3.3000000000000114
123,123,681,403.0,377.0,0.0,3.3000000000000114
124,124,682,404.0,377.0,0.0,3.3000000000000114
125,125,683,405.0,377.0,0.0,3.3000000000000114
126,126,684,406.0,377.0,0.0,3.3000000000000114
127,127,685,407.0,377.0,0.0,3.3000000000000114
128,128,686,408.0,377.0,0.0,3.3000000000000114
129,129,687,409.0,377.0,0.0,3.3000000000000114
130,130,688,410.0,377.0,0.0,3.3000000000000114
131,131,689,411.0,377.0,0.0,3.3000000000000114
