ordem,index,x,y
265,486,209.0,376.0
266,487,210.0,376.0
267,488,211.0,376.0
268,489,212.0,376.0
269,490,213.0,376.0
270,491,214.0,376.0
271,492,215.0,376.0
272,493,216.0,376.0
273,494,217.0,376.0
274,495,218.0,376.0
275,496,219.0,376.0
276,497,220.0,376.0
277,498,221.0,376.0
278,499,222.0,376.0
279,500,223.0,376.0
280,501,224.0,376.0
281,502,225.0,376.0
282,503,226.0,376.0
283,504,227.0,376.0
284,505,228.0,376.0
285,506,229.0,376.0
286,507,230.0,376.0
287,508,231.0,376.0
288,509,232.0,376.0
289,510,233.0,376.0
290,511,234.0,376.0
291,512,235.0,376.0
292,513,236.0,376.0
293,514,237.0,376.0
294,515,238.0,376.0
295,516,239.0,376.0
296,517,240.0,376.0
297,518,241.0,376.0
298,519,242.0,376.0
299,520,243.0,376.0
300,521,244.0,376.0
301,522,245.0,376.0
302,523,246.0,376.0
303,524,247.0,376.0
304,525,248.0,376.0
305,526,249.0,376.0
306,527,250.0,376.0
307,528,251.0,376.0
308,529,252.0,376.0
309,530,253.0,376.0
310,531,254.0,376.0
311,532,255.0,376.0
312,533,256.0,376.0
313,534,257.0,376.0
314,535,258.0,376.0
315,536,259.0,376.0
316,537,260.0,376.0
317,538,261.0,376.0
318,539,262.0,376.0
319,540,263.0,376.0
320,541,264.0,376.0
321,542,265.0,376.0
322,543,266.0,376.0
323,544,267.0,376.0
324,545,268.0,376.0
325,546,269.0,376.0
326,547,270.0,376.0
327,548,271.0,376.0
328,549,272.0,376.0
329,550,273.0,376.0
330,551,274.0,376.0
331,552,275.0,376.0
332,553,276.0,376.0
333,554,277.0,376.0
334,555,278.0,376.0
335,556,279.0,376.0
